analysis,term,value,p_or_extra
logit_log_length_only,log_length,0.144,0.0002
logit_norm_edit_only,norm_edit,1.100,0.7438
logit_log_length+norm_edit+java,log_length,0.122,0.0004
logit_log_length+norm_edit+java,norm_edit,0.878,0.7266
logit_log_length+norm_edit+java,java,1.310,0.5388
spearman,log_length_vs_flip,-0.639,0.0000
length_half,shorter_half,22/25,0.8800
length_half,longer_half,7/25,0.2800
logit_pooled_class,human_vs_AI,204.29,0.00000
logit_pooled_class,log_length,0.276,0.00021
length_matched_class,<= 1000,human 25/30 vs AI 2/64,1.06e-15
length_matched_class,<= 1500,human 27/33 vs AI 2/87,7.44e-19
length_matched_class,<= 2500,human 28/37 vs AI 2/102,2.57e-19
family_human,lexical_rename,0/59,0.03333
family_human,control_flow,0/16,0.06108
family_human,formatting,29/50,0.10875
formatting_bin,"[0.0,0.05)",3/6,
formatting_bin,"[0.05,0.1)",12/18,
formatting_bin,"[0.1,0.2)",7/16,
formatting_bin,"[0.2,9)",7/10,
formatting_matched_to_rename_max,<= 0.2632,25/45,
accuracy,4-class exact match,172/199,"[81.0,90.5]"
accuracy,binary human-vs-AI,196/199,"[95.7,99.5]"
accuracy,"4-class exact match, AI-class rows only",106/133,"[72.1,85.7]"
transform_attempts,total,597,"{""SUCCESS"": 365, ""NOT_APPLICABLE"": 229, ""VALIDATION_FAILED"": 3}"
