metric,value
noise_n,199
noise_flip_rate,0.18592964824120603
noise_mean_abs_delta,0.551149066700813
noise_median_abs_delta,0.4401170599266502
shared_seed_111_mean_abs_delta,0.5978893864315294
shared_seed_111_IER,10/80
shared_seed_111_IER_Python,9/46
shared_seed_111_IER_Java,1/34
shared_seed_222_mean_abs_delta,0.5478693213316591
shared_seed_222_IER,11/82
shared_seed_222_IER_Python,4/47
shared_seed_222_IER_Java,7/35
repro_n,158
repro_spearman,0.04888913230005293
repro_spearman_p,0.5418536955262482
repro_pearson,0.12842880971573525
repro_sign_agreement,0.5443037974683544
