detector,language,family,n_attempted,n_applicable,n_valid,n_baseline_correct,mean_delta,median_delta,flips,induced_error_rate
DroidDetect-Base,Java,control_flow,99,18,17,14,0.003916397928846623,0.0,2,0.07142857142857142
DroidDetect-Base,Java,formatting,99,64,64,54,-0.11968595404530546,-0.004728555679321289,13,0.24074074074074073
DroidDetect-Base,Java,lexical_rename,99,83,83,71,0.005394167317257575,0.0,4,0.028169014084507043
DroidDetect-Base,Python,control_flow,100,26,26,26,-0.0015491063778217023,0.0,1,0.038461538461538464
DroidDetect-Base,Python,formatting,100,95,94,83,-0.2759914499815957,-0.008769571781158447,32,0.3493975903614458
DroidDetect-Base,Python,lexical_rename,100,82,81,73,-0.0028382348308482897,0.0,6,0.0410958904109589
LLMSniffer,Java,control_flow,99,18,17,4,0.023331479114644667,0.02470371127128601,5,0.0
LLMSniffer,Java,formatting,99,64,64,24,0.009244473185390234,0.011888593435287476,13,0.08333333333333333
LLMSniffer,Java,lexical_rename,99,83,83,35,0.009432492485965591,0.008527219295501709,5,0.0
LLMSniffer,Python,control_flow,100,26,26,15,0.006504527651346647,0.006012946367263794,2,0.0
LLMSniffer,Python,formatting,100,95,94,62,0.0035643390518553713,0.0003783106803894043,8,0.06451612903225806
LLMSniffer,Python,lexical_rename,100,82,81,52,0.007244479141117614,0.005558669567108154,1,0.019230769230769232
