subset,detector,language,n,mean_abs_delta_original,mean_abs_delta_canonicalized,reduction_factor
ALL_158,LLMSniffer,Python,94,0.026897817533066932,0.003117618408608944,8.627681135956763
ALL_158,LLMSniffer,Java,64,0.025243228767067194,0.0015120781026780605,16.694394768602624
ALL_158,DroidDetect-Base,Python,94,0.3150768364409616,0.009038571050846007,34.85914252026271
ALL_158,DroidDetect-Base,Java,64,0.16120563865635873,0.0025458785227463563,63.32023983707549
ALL_158,DetectCodeGPT,Python,94,0.6873696133800877,0.2804601043312643,2.4508641434726273
ALL_158,DetectCodeGPT,Java,64,0.6449344081355862,0.24355822948264558,2.6479680424082743
RESIDUAL_50,LLMSniffer,Python,32,0.0323376776650548,0.009158004075288773,3.5310835635367543
RESIDUAL_50,LLMSniffer,Java,18,0.020049762394693162,0.005376277698410882,3.729301855188668
RESIDUAL_50,DroidDetect-Base,Python,32,0.3936888945597663,0.026550802461860146,14.827758789034526
RESIDUAL_50,DroidDetect-Base,Java,18,0.13902628602873948,0.009052012525320377,15.358605132267968
RESIDUAL_50,DetectCodeGPT,Python,32,0.8425090150397229,0.8238515564730889,1.0226466265919392
RESIDUAL_50,DetectCodeGPT,Java,18,0.5657206871662371,0.8659848159382955,0.6532685986569847
